"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"MODESTUDIOS1";"EXPERIENCIAPREVIA1";"EXPERIENCIAPREVIA4_1";"EXPERIENCIAPREVIA4_2";"EXPERIENCIAPREVIA4_3";"EXPERIENCIAPREVIA4_4";"EXPERIENCIAPREVIA4_5";"EXPERIENCIAPREVIA2";"EXPERIENCIAPREVIA3";"PRIMERA_GENERACION1";"PRIMERA_GENERACION2";"EXPERIENCIAPREVIA5_1";"EXPERIENCIAPREVIA5_2";"EXPERIENCIAPREVIA5_3";"EXPERIENCIAPREVIA5_4";"EXPERIENCIAPREVIA5_5";"EXPERIENCIAPREVIA5_6";"EXPERIENCIAPREVIA5_7";"EXPERIENCIAPREVIA5_8";"EXPERIENCIAPREVIA5_9";"EXPERIENCIAPREVIA5_10";"CCEA3_1";"CCEA3_2";"CCEA3_3";"CCEA3_4";"CCEA3_5";"CCEA3_6";"CCEA12_1";"CCEA12_2";"CCEA12_3";"CCEA12_4";"CCEA12_5";"CCEA12_6";"CCEA12_7";"CCEA12_8";"CCEA12_9";"CCEA12_10";"CCEA12_11";"CCEA8_1";"CCEA8_2";"CCEA8_3";"CCEA8_4";"CCEA8_5";"CCEA8_6";"CCEA9";"CCEA10";"CCEA6_1";"CCEA6_2";"CCEA6_3";"CCEA6_4";"CCEA6_5";"CCEA7_1_1";"CCEA7_1_3";"CCEA7_2"
"K6000921060";2025;25052;"25";5;1;1;1;0;0;0;4;0;1;0;2;3;1;3;2;3;1;2;3;3;3;3;3;2;2;2;3;2;2;2;3;2;3;3;3;3;2;1;1;1;0;0;0;3;4;3;3;3;3;3;1;4;2
"K9629481054";2025;45004;"45";5;5;9;9;9;9;9;0;0;0;1;0;0;2;2;2;3;0;3;3;0;2;3;2;2;2;1;2;2;0;2;0;0;2;2;1;3;3;1;0;1;0;0;0;3;4;3;3;3;3;2;1;0;3
"K8537731050";2025;50119;"50";1;4;0;1;0;0;0;1;6;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;4;3;3;3;3;3;1;0;2
"K8546291050";2025;35086;"35";2;4;0;0;0;1;0;4;0;1;0;2;2;3;3;3;1;1;2;2;3;3;3;0;3;3;3;2;3;2;3;3;2;2;3;3;3;3;1;0;0;0;0;0;3;3;3;2;2;3;2;1;4;1
"K8252751053";2025;26010;"26";1;4;0;0;0;1;0;2;6;1;0;3;2;3;3;3;3;2;3;3;0;3;3;3;3;3;3;3;3;3;3;1;0;3;0;0;2;0;1;0;0;0;0;0;3;4;3;3;3;3;3;1;0;2
"K1059251058";2025;55118;"55";1;4;0;1;0;1;0;2;3;1;0;2;2;2;3;3;2;2;2;2;3;3;3;3;1;1;1;3;3;3;3;3;1;3;3;3;3;2;1;1;1;0;0;0;3;2;3;3;3;3;3;1;1;3
"K5762401051";2025;12042;"12";1;4;0;0;0;1;0;1;6;1;0;0;0;2;0;2;2;3;2;0;0;3;3;3;1;0;0;3;3;0;0;3;0;2;3;2;0;2;0;0;1;0;0;0;1;3;3;2;2;2;2;1;4;1
"K3666011057";2025;21074;"21";5;5;9;9;9;9;9;0;0;1;0;3;2;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;1;1;0;0;0;0;3;3;3;3;3;3;2;1;1;3
"K0472581060";2025;53309;"53";5;5;9;9;9;9;9;0;0;1;0;2;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;2;3;1;2;1;2;3;2;2;3;2;0;1;0;0;0;0;3;4;2;1;3;3;3;1;4;3
"K2682651055";2025;47002;"47";5;5;9;9;9;9;9;0;0;1;0;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;3;2;2;1;1;2;2;1;1;1;1;1;0;0;0;0;2;4;2;3;2;1;1;1;4;3
