"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"AUTOEFICACIA";"MOT_APRENDIZAJE";"MOT_DESEMPENO";"AUTORREGULACION"
"L233423862";2025;32006;32;"3";"3";"2";"2"
"L775096251";2025;56508;56;"2";"2";"1";"2"
"L533906562";2025;39107;39;"1";"2";"1";"1"
"L189146662";2025;50929;50;"2";"3";"2";"3"
"L443246852";2025;41071;41;"3";"2";"1";"1"
"L471597456";2025;45008;45;"3";"3";"1";"3"
"L307377552";2025;51120;51;"3";"3";"1";"2"
"L351218157";2025;25042;25;"3";"2";"2";"3"
"L123948354";2025;56220;56;"2";"3";"3";"3"
"L902028459";2025;41021;41;"2";"3";"3";"3"
"L243028662";2025;20076;20;"1";"2";"1";"2"
"L137218651";2025;21046;21;"2";"2";"1";"2"
"L685039160";2025;20096;20;"2";"3";"3";"3"
"L217879152";2025;23061;23;"3";"3";"3";"3"
"L705569337";2025;12008;12;"2";"3";"2";"2"
"L587229359";2025;20076;20;"1";"3";"1";"3"
"L370059454";2025;56224;56;"2";"3";"2";"2"
"L305139459";2025;23059;23;"1";"2";"1";"2"
"L740819937";2025;23075;23;"1";"2";"2";"1"
"L373569937";2025;27003;27;"1";"2";"2";"2"
"L484599957";2025;50115;50;"3";"2";"2";"2"
"L218459937";2025;22042;22;"1";"1";"2";"1"
"L4500931062";2025;25052;25;"1";"2";"1";"2"
"L3329491055";2025;45004;45;"3";"3";"2";"1"
"L8637731051";2025;50119;50;"2";"2";"2";"2"
"L8646291051";2025;35086;35;"2";"2";"1";"2"
"L1052761054";2025;26010;26;"2";"2";"1";"3"
"L8359251059";2025;55118;55;"3";"3";"1";"3"
"L6762401052";2025;12042;12;"1";"1";"1";"1"
"L0066021058";2025;21074;21;"1";"3";"3";"2"
"L8972581062";2025;53309;53;"3";"3";"2";"3"
"L7282651056";2025;47002;47;"1";"2";"2";"3"
"L5383411057";2025;11017;11;"3";"3";"1";"3"
"L4985101053";2025;18096;18;"3";"3";"1";"2"
"L1087711052";2025;40030;40;"3";"3";"3";"3"
"L3291961052";2025;14004;14;"2";"3";"3";"3"
"L8897051056";2025;12034;12;"3";"3";"1";"3"
"L1098341058";2025;23016;23;"3";"3";"1";"2"
"L2599781062";2025;46306;46;"2";"2";"1";"3"
"L7939601151";2025;49113;49;"1";"3";"3";"2"
"L0447011162";2025;55005;55;"3";"3";"2";"2"
"L4950111151";2025;37101;37;"2";"1";"1";"1"
"L4459251154";2025;17054;17;"2";"1";"1";"2"
"L6076381157";2025;35064;35;"2";"3";"1";"2"
"L9882781157";2025;19050;19;"2";"2";"1";"3"
"L8583011160";2025;56518;56;"2";"2";"1";"3"
"L1985651154";2025;52070;52;"3";"3";"1";"3"
"L7987141159";2025;53306;53;"2";"3";"2";"3"
"L7901241254";2025;25065;25;"1";"2";"2";"2"
"L9316061253";2025;56220;56;"2";"2";"2";"2"
"L2516451260";2025;40074;40;"2";"2";"";"3"
"L7020741258";2025;12018;12;"1";"3";"1";"3"
"L1820941260";2025;22023;22;"3";"3";"1";"2"
"L0424821251";2025;56124;56;"1";"3";"1";"2"
"L9825481256";2025;56410;56;"3";"3";"3";"2"
"L3728321262";2025;49108;49;"3";"3";"2";""
"L6028551251";2025;12018;12;"2";"3";"1";"2"
"L8734011251";2025;32162;32;"1";"2";"2";"2"
"L6342531259";2025;55076;55;"3";"2";"1";"2"
"L5944351251";2025;41011;41;"1";"2";"2";"2"
"L7144411260";2025;11061;11;"1";"1";"2";"2"
"L8748901254";2025;55092;55;"2";"3";"1";"1"
"L6555111252";2025;13022;13;"2";"3";"1";"3"
"L7959701255";2025;18096;18;"2";"2";"3";"2"
"L6161031262";2025;23016;23;"2";"3";"";"1"
"L2061071257";2025;11022;11;"2";"3";"1";"2"
"L4464621255";2025;20096;20;"3";"3";"3";"3"
"L9166491262";2025;45036;45;"3";"2";"1";"2"
"L5668761260";2025;56324;56;"2";"3";"1";"3"
"L6275671257";2025;12018;12;"3";"1";"1";"3"
"L2284541255";2025;26071;26;"1";"2";"1";"2"
"L7186341262";2025;47491;47;"1";"3";"2";"2"
"L3586361256";2025;56518;56;"1";"2";"2";"2"
"L0589821256";2025;11065;11;"2";"2";"1";"2"
"L3092511262";2025;39129;39;"2";"1";"1";"1"
"L3200981352";2025;23016;23;"1";"2";"2";"3"
"L3304881355";2025;49305;49;"1";"2";"1";"2"
"L2008571355";2025;49109;49;"3";"3";"3";"3"
"L2016381355";2025;32150;32;"1";"2";"1";"3"
"L2624951359";2025;49317;49;"3";"3";"1";"3"
"L2426501362";2025;41015;41;"2";"2";"2";"3"
"L9926821359";2025;51111;51;"1";"1";"1";"2"
"L2529751358";2025;21033;21;"3";"3";"";"2"
"L7130771354";2025;55092;55;"2";"2";"1";"2"
"L4433251362";2025;55111;55;"2";"2";"1";"3"
"L9636671359";2025;55084;55;"1";"3";"2";"2"
"L2141831353";2025;55114;55;"3";"3";"";"2"
"L8442891356";2025;45004;45;"1";"2";"1";"1"
"L2143101353";2025;19031;19;"3";"3";"2";"3"
"L6644631354";2025;19022;19;"1";"2";"1";"2"
"L6345731351";2025;21047;21;"3";"3";"3";"3"
"L4345871355";2025;20086;20;"1";"2";"1";"3"
"L5750661351";2025;13037;13;"2";"3";"3";"3"
"L5652991337";2025;41032;41;"2";"3";"3";"2"
"L4459641355";2025;32130;32;"2";"2";"1";"1"
"L1760351353";2025;47004;47;"2";"3";"2";"2"
"L6563671354";2025;22021;22;"2";"2";"2";"2"
"L6263821360";2025;22023;22;"2";"2";"2";"2"
"L0068231352";2025;16110;16;"1";"1";"1";"1"
"L0470701353";2025;40030;40;"2";"3";"";"3"
"L3070891352";2025;52090;52;"3";"3";"2";"3"
"L1073271351";2025;19084;19;"2";"3";"1";"2"
"L7077791358";2025;47151;47;"1";"2";"2";"2"
"L8985241362";2025;55011;55;"3";"3";"2";"3"
"L9485971358";2025;11061;11;"2";"2";"2";"2"
"L3389561360";2025;53101;53;"1";"3";"2";"3"
"L9889921360";2025;52100;52;"1";"2";"1";"1"
"L1291911354";2025;55064;55;"3";"3";"2";"3"
"L0591911362";2025;49104;49;"2";"2";"1";"3"
"L2692181360";2025;41212;41;"1";"3";"2";"2"
"L3294991359";2025;34051;34;"2";"3";"1";"2"
"L0098171359";2025;51101;51;"3";"2";"1";"2"
"L3400381459";2025;38168;38;"1";"2";"1";"2"
"L0905911459";2025;44027;44;"3";"2";"1";"2"
"L9308141462";2025;45037;45;"1";"1";"1";"1"
"L0008711459";2025;17009;17;"1";"2";"3";"2"
"L4013901458";2025;38162;38;"1";"1";"1";"1"
"L4414401458";2025;45005;45;"1";"2";"1";"3"
"L7414521458";2025;11026;11;"1";"3";"3";"2"
"L3814901453";2025;11040;11;"1";"3";"1";"3"
